model,test_accuracy,test_macro_f1,final_val_accuracy,final_val_loss
mlp,0.1111111111111111,0.03492981892210436,0.12037037312984467,2.37882137298584
cnn,0.12037037037037036,0.06705516705516705,0.12037037312984467,2.4453158378601074
mobilenetv2,0.5092592592592593,0.48454133149919926,0.40740740299224854,1.7526289224624634
