auc,binary_accuracy,loss,val_auc,val_binary_accuracy,val_loss
0.5617269277572632,0.877543032169342,0.33124247193336487,0.5619442462921143,0.8782288432121277,0.3317614197731018
0.6009886860847473,0.8854795098304749,0.3093169927597046,0.5661824941635132,0.8789085745811462,0.3297111392021179
0.613253653049469,0.8867900371551514,0.3051823675632477,0.6416746377944946,0.8870653510093689,0.2992497980594635
0.6202902793884277,0.8877053260803223,0.30253246426582336,0.6432560682296753,0.8871141672134399,0.29674166440963745
0.6422653794288635,0.8892863988876343,0.29782286286354065,0.6570177674293518,0.8888620734214783,0.2936404347419739
0.6461650133132935,0.8894423246383667,0.29602766036987305,0.6746318936347961,0.8875025510787964,0.2924315631389618
0.6563947796821594,0.8902955651283264,0.2939552664756775,0.670026957988739,0.8881821632385254,0.29266437888145447
0.6677201986312866,0.8908050656318665,0.29122987389564514,0.6412123441696167,0.8872112035751343,0.3188641369342804
0.6762499213218689,0.8912213444709778,0.28964051604270935,0.6283196210861206,0.8797826170921326,0.31708356738090515
0.6819064617156982,0.8920636177062988,0.28826072812080383,0.6829599142074585,0.889541745185852,0.2918843626976013
